url,trade1h,buy1h,sell1h,buyPercentage,sellPercentage,minimum_trades_met,sell_condition_over,uniqueWallet1hr,v24USD,watch,view24h,liquidity,links,address
https://dexscreener.com/solana/ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ,67,21,46,31.343283582089555,68.65671641791045,True,True,0,4239671.775014357,11,4241,7253.656960359155,[],ML6CUJc3PypAEMcbgM2CcnPzzbBSdBMSN6cwqCGzBEJ
https://dexscreener.com/solana/J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV,23,11,12,47.82608695652174,52.17391304347826,True,True,0,3531847.5040005133,1,836,3735.523386458385,[],J6WCNje1rTb6tdJmpFMXCB2AvWfRHiDi6sC734tAJNDV
https://dexscreener.com/solana/HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs,361,181,180,50.13850415512465,49.86149584487535,True,True,0,994370.9159333033,3,885,3919.0744230175555,[],HFDCzifMk9wPv1cavPLFwjZPMAdJD72rZoRPoEGPqqSs
https://dexscreener.com/solana/ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc,33,16,17,48.484848484848484,51.515151515151516,True,True,0,929213.8310014701,,348,10273.976512232952,[],ABsS3oGRmP123c49PVp9gaN9frmzqGv6E9AYL2mJDRc
https://dexscreener.com/solana/49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU,47,27,20,57.446808510638306,42.5531914893617,True,True,0,743666.4024702727,,1013,3791.0243363386135,"[{'website': 'https://boof.capital/'}, {'telegram': 'https://t.me/boofsolana'}, {'twitter': 'https://twitter.com/BoofSolana'}]",49rZGawnSxuCaY61gMMEweABjNvPzwW62Av7R23fJ3CU
https://dexscreener.com/solana/ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk,22,16,6,72.72727272727273,27.27272727272727,True,True,0,672141.3150089597,,688,4520.497767510407,"[{'telegram': 'https://t.me/schrodingerscat_sol'}, {'twitter': 'https://twitter.com/schrodingr_cat'}]",ExL72PREwYg2qB5dohc9w3ZQt5pyVzoXpWSbjroz4LFk
https://dexscreener.com/solana/Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg,16,6,10,37.5,62.5,True,True,0,560892.7226740944,2,834,9980.544765630095,"[{'telegram': 'https://t.me/bookofweedonsol'}, {'twitter': 'https://twitter.com/BookOfWeedOnSOL'}, {'website': 'https://BOWonSOL.com'}]",Eb54AAR6zSN18WLQWopeR5mDkseynLtrTrT2dVh2Jjzg
https://dexscreener.com/solana/5E9c1zz3AS1j1guN4LyQkdLNFdWqWbSu7YBQ1kHMT2wp,192,79,113,41.14583333333333,58.854166666666664,True,True,0,411330.0723669847,1,914,7002.714682676041,"[{'website': 'https://www.wagmisol.wtf/'}, {'twitter': 'https://twitter.com/wagmi_sol_'}, {'telegram': 'https://t.me/wagmisol_entry'}]",5E9c1zz3AS1j1guN4LyQkdLNFdWqWbSu7YBQ1kHMT2wp
https://dexscreener.com/solana/eCLGyi1xBV6RQwY61WYE5HdsQ38MSFp4C9HrnBXL5Qt,48,25,23,52.083333333333336,47.91666666666667,True,True,0,384868.2959842386,4,1165,3016.62127704661,"[{'telegram': 'https://t.me/XiJenpeng_Sol'}, {'telegram': 'https://t.me/+OGJ2xwzdjqljYjk1'}, {'website': 'https://x.com/xijenpeng'}, {'website': 'https://xi'}]",eCLGyi1xBV6RQwY61WYE5HdsQ38MSFp4C9HrnBXL5Qt
https://dexscreener.com/solana/9SAwXfc8tZyjK8pbVzdRhAAqUwH8er58KmcKdkPo1Y2M,171,89,82,52.046783625730995,47.953216374269005,True,True,0,332918.94695955265,1,531,13281.685401634477,[],9SAwXfc8tZyjK8pbVzdRhAAqUwH8er58KmcKdkPo1Y2M
https://dexscreener.com/solana/5hh9G4yyHAkgRoBhAuypg3njckEULUmV197LWycugyJc,19,11,8,57.89473684210527,42.10526315789473,True,True,0,294093.0669118803,,409,13804.016525852378,[],5hh9G4yyHAkgRoBhAuypg3njckEULUmV197LWycugyJc
https://dexscreener.com/solana/GcLZ2RHMPD4cYFuKKXJAFVxRCDJX3pQDnwYszwke7t1A,263,74,189,28.13688212927757,71.86311787072243,True,True,0,294076.8664808168,1,519,2780.539133177326,"[{'telegram': 'https://t.me/endyonsol'}, {'twitter': 'https://twitter.com/endyonsol'}, {'website': 'https://endysolana.online'}]",GcLZ2RHMPD4cYFuKKXJAFVxRCDJX3pQDnwYszwke7t1A
https://dexscreener.com/solana/G2xo4VXJcwr8jsvxeMvVsvz3yEYaGqmAkA2TdwomvU1L,31,16,15,51.61290322580645,48.38709677419355,True,True,0,262590.7609150052,1,1060,5430.214774733622,[],G2xo4VXJcwr8jsvxeMvVsvz3yEYaGqmAkA2TdwomvU1L
https://dexscreener.com/solana/7ffamBcanEcTiExcLzLgi4nBLWt2EgSscs4mm2C4914v,3168,1398,1770,44.128787878787875,55.871212121212125,True,True,0,256254.25221257514,1,92,1655.2607745875525,[],7ffamBcanEcTiExcLzLgi4nBLWt2EgSscs4mm2C4914v
https://dexscreener.com/solana/3qtSYhKmVJob7AUExdh8zeFjW36fHwUeJ81LyfV3FpV8,11,3,8,27.27272727272727,72.72727272727273,True,True,0,228973.01893026894,,177,2339.1591213226316,"[{'telegram': 'https://t.me/Dogelord_sol'}, {'twitter': 'https://twitter.com/dogelordsol'}, {'website': 'https://www.dogelord.site/'}]",3qtSYhKmVJob7AUExdh8zeFjW36fHwUeJ81LyfV3FpV8
https://dexscreener.com/solana/H5DTNEegTedj4SJDkpVDhkJ7FayqBdmdJ591U37HzJXV,51,39,12,76.47058823529412,23.52941176470588,True,True,0,224450.28728967987,1,355,13803.214180160696,[{'twitter': 'https://twitter.com/Lizzyonsolana'}],H5DTNEegTedj4SJDkpVDhkJ7FayqBdmdJ591U37HzJXV
https://dexscreener.com/solana/Gud7Z8Y2vPBZBmsDeFVmu6XJm4967JTcTXU49PhfsFak,196,79,117,40.30612244897959,59.693877551020414,True,True,0,202169.19303224242,,275,11411.556006869485,[],Gud7Z8Y2vPBZBmsDeFVmu6XJm4967JTcTXU49PhfsFak
https://dexscreener.com/solana/3NotQ2nQGhT2AyqT8hhHF5r2qj6EmNGGVZAj3StKZ67x,2373,1360,1013,57.311420143278546,42.68857985672145,True,True,0,202854.6975486196,1,258,4873.684903684105,"[{'telegram': 'https://t.me/gumcatonsol'}, {'website': 'https://x.com/gumcat_sol'}, {'website': 'https://gummycat.top'}]",3NotQ2nQGhT2AyqT8hhHF5r2qj6EmNGGVZAj3StKZ67x
https://dexscreener.com/solana/494xMkFGfMdd5rXzYKAbEKJAUK1REVuH4zJizwvoHCwt,48,12,36,25.0,75.0,True,True,0,155723.83972109674,1,232,9545.387755282787,[],494xMkFGfMdd5rXzYKAbEKJAUK1REVuH4zJizwvoHCwt
https://dexscreener.com/solana/HbYxhNYbLeMRPdin3QZvp7ca5HeEZXJNXAskvVjg6Aea,493,213,280,43.20486815415821,56.79513184584179,True,True,0,137173.91180006377,,216,25414.31210519284,[],HbYxhNYbLeMRPdin3QZvp7ca5HeEZXJNXAskvVjg6Aea
https://dexscreener.com/solana/56eiB6CQFjSmDEiQLZTjXiaHNqXLNKhpB54FTizcW3Q,18,7,11,38.88888888888889,61.111111111111114,True,True,0,128071.85538177389,,163,8396.00441733881,[],56eiB6CQFjSmDEiQLZTjXiaHNqXLNKhpB54FTizcW3Q
